--------x264--------
nuaf version
!!!nuaf is running!!!
!!!nuaf is running!!!
[14.8%] 76/512 frames, 0.56 fps, 25882.88 kb/s, eta 0:12:55  
[15.0%] 77/512 frames, 0.56 fps, 25823.23 kb/s, eta 0:12:56  
[15.2%] 78/512 frames, 0.56 fps, 25704.79 kb/s, eta 0:12:54  
[15.4%] 79/512 frames, 0.57 fps, 26439.87 kb/s, eta 0:12:45  
[15.8%] 81/512 frames, 0.58 fps, 25896.04 kb/s, eta 0:12:25  
[16.0%] 82/512 frames, 0.58 fps, 25603.41 kb/s, eta 0:12:16  
[16.2%] 83/512 frames, 0.59 fps, 25321.45 kb/s, eta 0:12:07  
[16.4%] 84/512 frames, 0.60 fps, 25127.46 kb/s, eta 0:11:58  
[16.6%] 85/512 frames, 0.60 fps, 24887.33 kb/s, eta 0:11:50  
[16.8%] 86/512 frames, 0.61 fps, 24625.14 kb/s, eta 0:11:42  
[17.0%] 87/512 frames, 0.61 fps, 24386.51 kb/s, eta 0:11:35  
[17.2%] 88/512 frames, 0.62 fps, 24236.26 kb/s, eta 0:11:27  
[17.4%] 89/512 frames, 0.62 fps, 24034.05 kb/s, eta 0:11:21  
[17.6%] 90/512 frames, 0.63 fps, 23814.73 kb/s, eta 0:11:14  
[17.8%] 91/512 frames, 0.63 fps, 23600.50 kb/s, eta 0:11:07  
[18.0%] 92/512 frames, 0.64 fps, 23505.10 kb/s, eta 0:11:01  
[18.2%] 93/512 frames, 0.64 fps, 23343.60 kb/s, eta 0:10:55  
[18.4%] 94/512 frames, 0.64 fps, 23162.70 kb/s, eta 0:10:49  
[18.6%] 95/512 frames, 0.65 fps, 22983.53 kb/s, eta 0:10:43  
[18.8%] 96/512 frames, 0.65 fps, 22882.48 kb/s, eta 0:10:37  
[18.9%] 97/512 frames, 0.66 fps, 22718.62 kb/s, eta 0:10:32  
[19.1%] 98/512 frames, 0.66 fps, 22532.98 kb/s, eta 0:10:26  
[19.3%] 99/512 frames, 0.67 fps, 22364.73 kb/s, eta 0:10:20  
[19.5%] 100/512 frames, 0.67 fps, 22303.40 kb/s, eta 0:10:15  
[19.7%] 101/512 frames, 0.67 fps, 22189.42 kb/s, eta 0:10:11  
[19.9%] 102/512 frames, 0.68 fps, 22053.44 kb/s, eta 0:10:06  
[20.1%] 103/512 frames, 0.68 fps, 21923.98 kb/s, eta 0:10:01  
[20.3%] 104/512 frames, 0.68 fps, 21866.99 kb/s, eta 0:09:56  
[20.5%] 105/512 frames, 0.69 fps, 21753.21 kb/s, eta 0:09:52  
[20.7%] 106/512 frames, 0.69 fps, 21622.21 kb/s, eta 0:09:48  
[20.9%] 107/512 frames, 0.69 fps, 21484.68 kb/s, eta 0:09:43  
[21.1%] 108/512 frames, 0.70 fps, 21412.78 kb/s, eta 0:09:38  
[21.3%] 109/512 frames, 0.70 fps, 21289.35 kb/s, eta 0:09:34  
[21.5%] 110/512 frames, 0.71 fps, 21147.69 kb/s, eta 0:09:29  
[21.7%] 111/512 frames, 0.71 fps, 21025.61 kb/s, eta 0:09:25  
[21.9%] 112/512 frames, 0.71 fps, 20955.49 kb/s, eta 0:09:21  
[22.1%] 113/512 frames, 0.72 fps, 20848.59 kb/s, eta 0:09:17  
[22.3%] 114/512 frames, 0.72 fps, 20727.00 kb/s, eta 0:09:12  
[22.5%] 115/512 frames, 0.72 fps, 20601.45 kb/s, eta 0:09:08  
[22.7%] 116/512 frames, 0.73 fps, 20530.64 kb/s, eta 0:09:04  
[22.9%] 117/512 frames, 0.73 fps, 20427.71 kb/s, eta 0:09:01  
[23.0%] 118/512 frames, 0.73 fps, 20312.53 kb/s, eta 0:08:57  
[23.2%] 119/512 frames, 0.74 fps, 20198.54 kb/s, eta 0:08:53  
[23.4%] 120/512 frames, 0.74 fps, 20164.49 kb/s, eta 0:08:49  
[23.6%] 121/512 frames, 0.74 fps, 20092.24 kb/s, eta 0:08:46  
[23.8%] 122/512 frames, 0.75 fps, 19989.76 kb/s, eta 0:08:42  
[24.0%] 123/512 frames, 0.75 fps, 19907.42 kb/s, eta 0:08:39  
[24.2%] 124/512 frames, 0.75 fps, 19871.52 kb/s, eta 0:08:36  
[24.4%] 125/512 frames, 0.75 fps, 19804.16 kb/s, eta 0:08:33  
[24.6%] 126/512 frames, 0.76 fps, 19719.49 kb/s, eta 0:08:30  
[24.8%] 127/512 frames, 0.76 fps, 19634.78 kb/s, eta 0:08:27  
[25.0%] 128/512 frames, 0.76 fps, 19593.20 kb/s, eta 0:08:23  
[25.2%] 129/512 frames, 0.76 fps, 19526.69 kb/s, eta 0:08:21  
[25.4%] 130/512 frames, 0.77 fps, 19447.33 kb/s, eta 0:08:17  
[25.6%] 131/512 frames, 0.77 fps, 19362.41 kb/s, eta 0:08:14  
[25.8%] 132/512 frames, 0.77 fps, 19314.53 kb/s, eta 0:08:11  
[26.0%] 133/512 frames, 0.78 fps, 19244.55 kb/s, eta 0:08:08  
[26.2%] 134/512 frames, 0.78 fps, 19163.28 kb/s, eta 0:08:05  
[26.4%] 135/512 frames, 0.78 fps, 19078.98 kb/s, eta 0:08:02  
[26.6%] 136/512 frames, 0.78 fps, 19025.43 kb/s, eta 0:07:59  
[26.8%] 137/512 frames, 0.79 fps, 18952.12 kb/s, eta 0:07:56  
[27.0%] 138/512 frames, 0.79 fps, 18865.78 kb/s, eta 0:07:53  
[27.1%] 139/512 frames, 0.79 fps, 18782.57 kb/s, eta 0:07:50  
[27.3%] 140/512 frames, 0.80 fps, 18776.89 kb/s, eta 0:07:47  
[27.5%] 141/512 frames, 0.80 fps, 18724.97 kb/s, eta 0:07:45  
[27.7%] 142/512 frames, 0.80 fps, 18652.73 kb/s, eta 0:07:43  
[27.9%] 143/512 frames, 0.80 fps, 18598.46 kb/s, eta 0:07:40  
[28.1%] 144/512 frames, 0.80 fps, 18571.45 kb/s, eta 0:07:38  
[28.3%] 145/512 frames, 0.80 fps, 18512.59 kb/s, eta 0:07:36  
[28.5%] 146/512 frames, 0.81 fps, 18452.96 kb/s, eta 0:07:33  
[28.7%] 147/512 frames, 0.81 fps, 18384.06 kb/s, eta 0:07:31  
[28.9%] 148/512 frames, 0.81 fps, 18351.36 kb/s, eta 0:07:28  
[29.1%] 149/512 frames, 0.81 fps, 18289.56 kb/s, eta 0:07:26  
[29.3%] 150/512 frames, 0.82 fps, 18217.13 kb/s, eta 0:07:23  
[29.5%] 151/512 frames, 0.82 fps, 18137.85 kb/s, eta 0:07:21  
[29.7%] 152/512 frames, 0.82 fps, 18081.35 kb/s, eta 0:07:18  
[29.9%] 153/512 frames, 0.82 fps, 18009.28 kb/s, eta 0:07:15  
[30.1%] 154/512 frames, 0.83 fps, 17927.76 kb/s, eta 0:07:13  
[30.3%] 155/512 frames, 0.83 fps, 17844.30 kb/s, eta 0:07:10  
[30.5%] 156/512 frames, 0.83 fps, 17785.69 kb/s, eta 0:07:07  
[30.7%] 157/512 frames, 0.83 fps, 17717.48 kb/s, eta 0:07:05  
[30.9%] 158/512 frames, 0.84 fps, 17636.12 kb/s, eta 0:07:02  
[31.1%] 159/512 frames, 0.84 fps, 17558.10 kb/s, eta 0:06:59  
[31.2%] 160/512 frames, 0.84 fps, 17509.23 kb/s, eta 0:06:57  
[31.4%] 161/512 frames, 0.85 fps, 17440.98 kb/s, eta 0:06:54  
[31.6%] 162/512 frames, 0.85 fps, 17365.50 kb/s, eta 0:06:52  
[31.8%] 163/512 frames, 0.85 fps, 17282.86 kb/s, eta 0:06:49  
[32.0%] 164/512 frames, 0.86 fps, 17216.22 kb/s, eta 0:06:46  
[32.2%] 165/512 frames, 0.86 fps, 17139.60 kb/s, eta 0:06:44  
[32.4%] 166/512 frames, 0.86 fps, 17054.81 kb/s, eta 0:06:41  
[32.6%] 167/512 frames, 0.86 fps, 16972.65 kb/s, eta 0:06:38  
[32.8%] 168/512 frames, 0.87 fps, 16903.08 kb/s, eta 0:06:36  
[33.0%] 169/512 frames, 0.87 fps, 16822.58 kb/s, eta 0:06:33  
[33.2%] 170/512 frames, 0.87 fps, 16739.78 kb/s, eta 0:06:30  
[33.4%] 171/512 frames, 0.88 fps, 16657.25 kb/s, eta 0:06:28  
[33.6%] 172/512 frames, 0.88 fps, 16588.19 kb/s, eta 0:06:25  
[33.8%] 173/512 frames, 0.88 fps, 16508.60 kb/s, eta 0:06:23  
[34.0%] 174/512 frames, 0.89 fps, 16427.73 kb/s, eta 0:06:20  
[34.2%] 175/512 frames, 0.89 fps, 16346.61 kb/s, eta 0:06:17  
[34.4%] 176/512 frames, 0.89 fps, 16979.09 kb/s, eta 0:06:15  
[34.8%] 178/512 frames, 0.90 fps, 16859.58 kb/s, eta 0:06:10  
[35.0%] 179/512 frames, 0.91 fps, 16780.90 kb/s, eta 0:06:07  
[35.2%] 180/512 frames, 0.91 fps, 16709.76 kb/s, eta 0:06:05  
[35.4%] 181/512 frames, 0.91 fps, 16659.06 kb/s, eta 0:06:02  
[35.5%] 182/512 frames, 0.92 fps, 16602.92 kb/s, eta 0:06:00  
[35.7%] 183/512 frames, 0.92 fps, 16538.41 kb/s, eta 0:05:58  
[35.9%] 184/512 frames, 0.92 fps, 16471.15 kb/s, eta 0:05:56  
[36.1%] 185/512 frames, 0.92 fps, 16420.88 kb/s, eta 0:05:53  
[36.3%] 186/512 frames, 0.93 fps, 16355.95 kb/s, eta 0:05:51  
[36.5%] 187/512 frames, 0.93 fps, 16284.41 kb/s, eta 0:05:49  
[36.7%] 188/512 frames, 0.93 fps, 16215.46 kb/s, eta 0:05:47  
[36.9%] 189/512 frames, 0.94 fps, 16169.01 kb/s, eta 0:05:45  
[37.1%] 190/512 frames, 0.94 fps, 16110.25 kb/s, eta 0:05:43  
[37.3%] 191/512 frames, 0.94 fps, 16051.44 kb/s, eta 0:05:41  
[37.5%] 192/512 frames, 0.94 fps, 15983.46 kb/s, eta 0:05:39  
[37.7%] 193/512 frames, 0.95 fps, 15936.09 kb/s, eta 0:05:36  
[37.9%] 194/512 frames, 0.95 fps, 15881.14 kb/s, eta 0:05:35  
[38.1%] 195/512 frames, 0.95 fps, 15819.08 kb/s, eta 0:05:32  
[38.3%] 196/512 frames, 0.95 fps, 15759.20 kb/s, eta 0:05:30  
[38.5%] 197/512 frames, 0.96 fps, 15711.91 kb/s, eta 0:05:28  
[38.7%] 198/512 frames, 0.96 fps, 15654.30 kb/s, eta 0:05:27  
[38.9%] 199/512 frames, 0.96 fps, 15593.20 kb/s, eta 0:05:25  
[39.1%] 200/512 frames, 0.97 fps, 15528.14 kb/s, eta 0:05:22  
[39.3%] 201/512 frames, 0.97 fps, 15485.18 kb/s, eta 0:05:20  
[39.5%] 202/512 frames, 0.97 fps, 15427.46 kb/s, eta 0:05:19  
[39.6%] 203/512 frames, 0.97 fps, 15363.90 kb/s, eta 0:05:17  
[39.8%] 204/512 frames, 0.98 fps, 15301.52 kb/s, eta 0:05:15  
[40.0%] 205/512 frames, 0.98 fps, 15256.34 kb/s, eta 0:05:13  
[40.2%] 206/512 frames, 0.98 fps, 15201.58 kb/s, eta 0:05:11  
[40.4%] 207/512 frames, 0.99 fps, 15140.72 kb/s, eta 0:05:09  
[40.6%] 208/512 frames, 0.99 fps, 15081.40 kb/s, eta 0:05:07  
[40.8%] 209/512 frames, 0.99 fps, 15037.19 kb/s, eta 0:05:05  
[41.0%] 210/512 frames, 0.99 fps, 14983.94 kb/s, eta 0:05:03  
[41.2%] 211/512 frames, 1.00 fps, 14926.21 kb/s, eta 0:05:01  
[41.4%] 212/512 frames, 1.00 fps, 14868.40 kb/s, eta 0:04:59  
[41.6%] 213/512 frames, 1.00 fps, 14830.25 kb/s, eta 0:04:58  
[41.8%] 214/512 frames, 1.01 fps, 14777.26 kb/s, eta 0:04:56  
[42.0%] 215/512 frames, 1.01 fps, 14721.95 kb/s, eta 0:04:54  
[42.2%] 216/512 frames, 1.01 fps, 14666.64 kb/s, eta 0:04:52  
[42.4%] 217/512 frames, 1.01 fps, 14633.86 kb/s, eta 0:04:50  
[42.6%] 218/512 frames, 1.02 fps, 14587.98 kb/s, eta 0:04:49  
[42.8%] 219/512 frames, 1.02 fps, 14535.44 kb/s, eta 0:04:47  
[43.0%] 220/512 frames, 1.02 fps, 14486.52 kb/s, eta 0:04:45  
[43.2%] 221/512 frames, 1.02 fps, 14457.38 kb/s, eta 0:04:44  
[43.4%] 222/512 frames, 1.03 fps, 14416.91 kb/s, eta 0:04:42  
[43.6%] 223/512 frames, 1.03 fps, 14370.13 kb/s, eta 0:04:40  
[43.8%] 224/512 frames, 1.03 fps, 14325.36 kb/s, eta 0:04:39  
[43.9%] 225/512 frames, 1.03 fps, 14303.04 kb/s, eta 0:04:37  
[44.1%] 226/512 frames, 1.04 fps, 14263.63 kb/s, eta 0:04:36  
[44.3%] 227/512 frames, 1.04 fps, 14219.02 kb/s, eta 0:04:34  
[44.5%] 228/512 frames, 1.04 fps, 14176.66 kb/s, eta 0:04:33  
[44.7%] 229/512 frames, 1.04 fps, 14147.60 kb/s, eta 0:04:31  
[44.9%] 230/512 frames, 1.04 fps, 14108.38 kb/s, eta 0:04:30  
[45.1%] 231/512 frames, 1.05 fps, 14064.70 kb/s, eta 0:04:28  
[45.3%] 232/512 frames, 1.05 fps, 14021.05 kb/s, eta 0:04:26  
[45.5%] 233/512 frames, 1.05 fps, 14002.27 kb/s, eta 0:04:25  
[45.7%] 234/512 frames, 1.05 fps, 13967.44 kb/s, eta 0:04:24  
[45.9%] 235/512 frames, 1.05 fps, 13924.47 kb/s, eta 0:04:22  
[46.1%] 236/512 frames, 1.06 fps, 13885.23 kb/s, eta 0:04:21  
[46.3%] 237/512 frames, 1.06 fps, 13865.54 kb/s, eta 0:04:19  
[46.5%] 238/512 frames, 1.06 fps, 13828.31 kb/s, eta 0:04:18  
[46.7%] 239/512 frames, 1.06 fps, 13784.20 kb/s, eta 0:04:16  
[46.9%] 240/512 frames, 1.07 fps, 13742.88 kb/s, eta 0:04:15  
[47.1%] 241/512 frames, 1.07 fps, 13727.55 kb/s, eta 0:04:13  
[47.3%] 242/512 frames, 1.07 fps, 13696.91 kb/s, eta 0:04:12  
[47.5%] 243/512 frames, 1.07 fps, 13659.19 kb/s, eta 0:04:11  
[47.7%] 244/512 frames, 1.07 fps, 13626.96 kb/s, eta 0:04:09  
[47.9%] 245/512 frames, 1.07 fps, 13630.10 kb/s, eta 0:04:08  
[48.0%] 246/512 frames, 1.08 fps, 13604.08 kb/s, eta 0:04:07  
[48.2%] 247/512 frames, 1.08 fps, 13571.05 kb/s, eta 0:04:06  
